file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\EscapeType.java,com.nepxion.discovery.common.entity.EscapeType,enum,1,3,2,1,9,1,0,4,2,0.5,0.0,0.0,5,1,4,1,0,0,4,0,0,0,2,0,0,2,0,0,0,0,1,27,5,1,1,0,0,6,1,6,0,5,1,0,0,0,39,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\RegionEntity.java,com.nepxion.discovery.common.entity.RegionEntity,class,0,1,1,0,11,1,0,3,47,0.8545454,0.0,0.0,11,0,11,0,0,0,11,0,0,0,5,1,0,5,0,0,1,0,0,40,7,0,0,0,0,0,1,5,0,5,0,0,0,0,27,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-commons\discovery-common-zookeeper\src\main\java\com\nepxion\discovery\common\zookeeper\operation\ZookeeperListener.java,com.nepxion.discovery.common.zookeeper.operation.ZookeeperListener,class,2,4,2,2,5,1,0,4,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,21,2,0,0,0,0,0,0,2,0,2,0,0,0,0,11,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\yaml\YamlSafeConstructor.java,com.nepxion.discovery.common.yaml.YamlSafeConstructor,class,1,3,2,1,2,2,0,8,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,2,10,1,0,0,0,0,2,0,1,1,1,0,0,0,0,21,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\InspectorDebugEntity.java,com.nepxion.discovery.common.entity.InspectorDebugEntity,class,0,1,1,0,15,1,0,3,93,0.88571435,0.0,0.0,15,0,15,0,0,0,15,0,0,0,7,1,0,7,0,0,1,0,0,54,9,0,0,0,0,1,1,8,0,7,0,0,0,0,32,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-commons\discovery-common-redis\src\main\java\com\nepxion\discovery\common\redis\proccessor\RedisProcessor.java,com.nepxion.discovery.common.redis.proccessor.RedisProcessor$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,-1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-console\discovery-console-starter\src\main\java\com\nepxion\discovery\console\resource\AuthenticationResource.java,com.nepxion.discovery.console.resource.AuthenticationResource,interface,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\ResultEntity.java,com.nepxion.discovery.common.entity.ResultEntity,class,0,13,13,0,13,1,0,3,68,0.8717949,0.0,0.0,13,0,13,0,0,0,13,0,0,0,6,1,0,6,0,0,1,0,0,47,8,0,0,0,0,0,1,6,0,6,0,0,0,0,29,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\ElementType.java,com.nepxion.discovery.common.entity.ElementType,enum,1,2,1,1,6,1,0,3,0,0.0,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,19,3,1,0,0,0,1,0,1,1,1,2,0,0,0,32,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-console\discovery-console-starter\src\main\java\com\nepxion\discovery\console\resource\InspectorResource.java,com.nepxion.discovery.console.resource.InspectorResource,interface,0,3,3,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-console\discovery-console-starter\src\main\java\com\nepxion\discovery\console\rest\ConfigUpdateRestInvoker.java,com.nepxion.discovery.console.rest.ConfigUpdateRestInvoker,class,3,4,1,3,4,2,0,4,4,0.5,0.0,0.0,4,0,1,0,3,0,4,0,0,0,1,0,0,1,0,0,0,0,0,16,3,0,0,0,0,2,0,1,1,1,0,0,0,0,18,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\dom4j\Dom4JWriter.java,com.nepxion.discovery.common.dom4j.Dom4JWriter,class,4,5,1,4,6,1,0,6,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,29,3,0,1,1,0,1,0,3,0,3,2,0,0,0,27,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\Nepxion-Discovery\discovery-console\discovery-console-starter\src\main\java\com\nepxion\discovery\console\adapter\ConfigAdapter.java,com.nepxion.discovery.console.adapter.ConfigAdapter,interface,3,16,13,3,5,1,0,1,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
