file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\languages\JavascriptFlowtypedClientCodegen.java,org.openapitools.codegen.languages.JavascriptFlowtypedClientCodegen,class,15,16,1,15,28,3,0,34,101,0.8666667,0.0,0.0,15,0,13,1,1,0,14,0,0,0,2,1,1,0,1,0,1,0,5,129,7,3,3,0,0,176,0,21,2,6,4,0,0,1,112,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\languages\ScalaSttp4ClientCodegen.java,org.openapitools.codegen.languages.ScalaSttp4ClientCodegen$StringProperty,innerclass,2,2,0,2,5,2,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,0,0,0,0,0,0,0,0,1,0,0,0,13,9,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\languages\ErlangClientCodegen.java,org.openapitools.codegen.languages.ErlangClientCodegen$ExtendedCodegenOperation,innerclass,2,2,0,2,5,2,0,3,6,0.7,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,2,0,2,0,0,2,76,2,0,0,0,0,0,2,57,2,4,0,0,0,0,17,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\languages\features\GzipFeatures.java,org.openapitools.codegen.languages.features.GzipFeatures,interface,0,2,2,0,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,18,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\languages\JMeterClientCodegen.java,org.openapitools.codegen.languages.JMeterClientCodegen,class,10,11,1,10,23,2,0,37,76,0.8846154,0.0,0.0,13,0,13,0,0,0,13,0,0,0,2,0,0,0,2,0,0,0,6,82,15,2,3,0,0,31,0,18,5,11,4,0,0,1,142,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\languages\ScalaSttpClientCodegen.java,org.openapitools.codegen.languages.ScalaSttpClientCodegen$PackageProperty,innerclass,1,1,0,1,8,3,0,5,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,9,0,4,7,4,1,0,0,0,19,9,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\languages\ObjcClientCodegen.java,org.openapitools.codegen.languages.ObjcClientCodegen,class,20,21,1,20,128,2,0,89,827,0.9525579,0.0,0.0,43,0,42,0,1,0,43,0,0,0,25,8,8,1,16,0,9,0,24,528,52,4,15,0,8,386,5,92,64,41,4,0,0,1,216,1,3
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\languages\RustAxumServerCodegen.java,org.openapitools.codegen.languages.RustAxumServerCodegen$PathMethodOperations,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,8,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\TemplatingEngineLoader.java,org.openapitools.codegen.TemplatingEngineLoader,class,2,4,2,2,5,1,0,9,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21,2,1,0,1,0,4,0,2,0,2,2,0,0,0,22,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator\src\main\java\org\openapitools\codegen\utils\JsonCacheImpl.java,org.openapitools.codegen.utils.JsonCacheImpl$ChildCacheImpl,innerclass,8,8,0,8,111,1,0,48,0,0.027272727,0.0,0.0,110,0,109,1,0,0,109,0,0,0,2,0,0,2,0,0,2,0,0,383,107,0,0,1,0,3,0,4,1,3,1,0,0,0,54,10,1
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator-online\src\main\java\org\openapitools\codegen\online\service\GenApiService.java,org.openapitools.codegen.online.service.GenApiService,class,17,18,1,17,22,1,0,39,34,0.86111116,0.0,0.0,9,0,8,1,0,0,9,0,0,0,4,3,0,4,0,0,0,0,10,105,12,1,4,2,0,18,0,18,8,18,2,0,0,0,70,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\OpenAPITools-openapi-generator\modules\openapi-generator-online\src\main\java\org\openapitools\codegen\online\api\GenApiController.java,org.openapitools.codegen.online.api.GenApiController,class,5,6,1,5,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,6,1,0
