file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jlhttp\src\main\java\benchmarks\Server.java,Server,class,23,27,4,23,15,1,0,41,21,0.85714287,0.0,0.0,7,7,1,6,0,0,2,0,0,0,4,4,0,4,0,0,4,0,0,101,9,1,0,3,0,34,18,23,1,29,2,0,0,3,94,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\martian\src\main\java\com\text\api\TestApi.java,com.text.api.TestApi,class,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,6,0,3,0,3,0,0,0,0,19,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\grizzly\src\main\java\org\glassfish\grizzly\bm\PlainTextHttpHandler.java,org.glassfish.grizzly.bm.PlainTextHttpHandler,class,5,5,0,5,2,2,0,5,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,10,1,0,0,0,0,2,0,1,0,1,0,0,0,0,25,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\blade\src\main\java\hello\model\Fortune.java,hello.model.Fortune,class,2,3,1,2,6,2,0,0,3,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,1,0,4,0,2,0,0,0,0,10,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\greenlightning\src\main\java\com\javanut\gl\benchmark\SimpleRest.java,com.javanut.gl.benchmark.SimpleRest,class,7,8,1,7,4,1,0,10,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,4,0,0,22,3,0,0,0,0,1,1,4,0,8,1,0,0,3,27,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\helidon\reactive\src\main\java\io\helidon\benchmark\reactive\models\JdbcRepository.java,io.helidon.benchmark.reactive.models.JdbcRepository,class,13,14,1,13,5,1,0,30,4,0.7083333,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,0,0,6,0,0,2,0,2,34,5,1,0,0,0,13,8,8,1,11,2,0,0,5,38,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\hserver\src\main\java\com\test\hserver\util\Util.java,com.test.hserver.util.Util,class,0,1,1,0,3,1,0,5,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,14,3,0,0,1,0,0,5,1,1,1,1,0,0,0,9,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\bayou\src\main\java\bayou\BayouServer.java,bayou.BayouServer,class,5,5,0,5,5,1,0,10,0,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,1,1,0,0,0,1,1,0,2,30,4,0,0,1,0,10,1,4,0,5,2,0,0,1,30,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\light-java\src\main\java\com\networknt\techempower\handler\JsonGetHandler.java,com.networknt.techempower.handler.JsonGetHandler,class,6,7,1,6,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,18,0,0,0,0,0,1,1,2,0,2,0,0,1,0,14,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\baratine\src\main\java\testTechempowerBaratine\JsonService.java,testTechempowerBaratine.JsonService$HelloWorld,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,9,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\javalin\src\main\java\benchmark\repository\DbFactory.java,benchmark.repository.DbFactory,enum,4,7,3,4,12,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,56,2,0,0,1,0,13,1,15,1,7,2,0,1,0,43,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jooby\src\main\java\com\techempower\App.java,com.techempower.App,class,10,10,0,10,6,2,0,30,0,1.0,0.0,0.0,1,1,1,0,0,0,2,0,0,0,4,4,0,4,0,0,4,0,1,91,4,4,0,13,0,21,7,28,0,32,6,0,0,7,71,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\helidon\reactive\src\main\java\io\helidon\benchmark\reactive\services\FortuneService.java,io.helidon.benchmark.reactive.services.FortuneService,class,7,8,1,7,3,1,0,15,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,0,20,0,0,0,0,0,2,1,2,0,3,1,0,0,1,30,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\comsat\src\main\java\hello\webactors\NettyServer.java,hello.webactors.NettyServer,class,8,8,0,8,1,2,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,5,4,5,0,4,0,1,1,1,28,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\gemini\servlet\src\main\java\hello\home\entity\CachedWorld.java,hello.home.entity.CachedWorld$Anonymous1,anonymous,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\grizzly\src-jersey\main\java\hello\WorldResource.java,hello.WorldResource,class,12,14,2,12,12,1,0,34,4,0.4,0.0,0.0,5,2,3,2,0,0,3,0,0,0,1,0,0,1,0,0,0,0,12,88,8,1,2,4,0,5,14,23,1,23,3,0,0,5,41,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\light-java\src\main\java\com\networknt\techempower\handler\UpdatesPostgresqlGetHandler.java,com.networknt.techempower.handler.UpdatesPostgresqlGetHandler,class,6,7,1,6,3,1,0,18,0,0.33333334,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,1,0,4,34,0,2,0,4,0,5,5,14,0,12,4,0,0,0,43,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\helidon\nima\src\main\java\io\helidon\benchmark\nima\Main.java,io.helidon.benchmark.nima.Main$PlaintextHandler,innerclass,5,5,0,5,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,3,0,1,0,2,3,0,0,11,0,0,0,0,0,3,0,3,0,3,0,0,0,0,28,8,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jooby\src\main\java\com\techempower\Resource.java,com.techempower.Resource,class,11,11,0,11,11,1,0,22,1,0.6428572,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,3,0,4,0,0,4,0,11,87,1,4,0,13,0,21,7,27,0,25,4,0,0,0,66,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jawn\src\main\java\app\db\DbManager.java,app.db.DbManager,class,7,9,2,7,19,1,0,16,0,0.5833333,0.0,0.0,6,1,5,1,0,0,5,0,3,0,4,3,0,4,0,0,3,0,4,95,6,4,0,6,0,7,13,30,0,27,3,0,0,0,68,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\inverno\src\main\java\com\techempower\inverno\benchmark\internal\Controller.java,com.techempower.inverno.benchmark.internal.Controller$PlaintextSupplier,innerclass,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jooby\src\main\java\com\techempower\PgClient.java,com.techempower.PgClient$DbConnectionFactory,innerclass,8,8,0,8,7,2,0,23,1,0.33333334,0.0,0.0,3,0,1,1,1,0,2,0,0,0,1,0,0,1,0,0,1,0,1,40,3,0,1,1,0,0,3,12,0,13,2,0,0,5,49,10,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\dropwizard\src\main\java\com\example\helloworld\HelloJDBIService.java,com.example.helloworld.HelloJDBIService,class,13,14,1,13,3,2,0,6,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,2,0,2,0,0,0,0,25,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\micronaut\micronaut-data-r2dbc\src\main\java\benchmark\R2dbcFortuneRepository.java,benchmark.R2dbcFortuneRepository,interface,7,8,1,7,5,1,0,6,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\micronaut\micronaut-data-r2dbc\src\main\java\benchmark\R2dbcWorldRepository.java,benchmark.R2dbcWorldRepository,interface,8,9,1,8,4,1,0,4,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
