file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jlhttp\src\main\java\benchmarks\Server.java,Server,main/1[String[]],false,119,6,0,0,0,5,11,15,0,5,1,11,3,1,0,0,0,0,8,7,5,0,1,0,0,0,22,9,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jlhttp\src\main\java\benchmarks\Server.java,Server,loadTemplate/1[String],false,54,4,0,0,0,1,5,9,1,2,1,5,0,0,0,0,0,0,8,0,2,1,0,0,0,0,9,10,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jlhttp\src\main\java\benchmarks\Server.java,Server,createJSONHandler/0,false,74,3,0,0,0,2,7,18,2,4,0,7,0,0,0,0,1,0,3,2,2,0,2,0,0,1,19,10,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jlhttp\src\main\java\benchmarks\Server.java,Server,createPostgresDataSource/0,false,44,3,0,0,0,1,5,9,1,1,0,5,0,0,0,0,0,0,4,1,1,0,0,0,0,0,12,10,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jlhttp\src\main\java\benchmarks\Server.java,Server,createPlaintextHandler/0,false,64,1,0,0,0,1,5,10,2,2,0,5,0,0,0,0,0,0,3,2,0,0,1,0,0,1,13,10,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jlhttp\src\main\java\benchmarks\Server.java,Server,(initializer 1),false,29,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jlhttp\src\main\java\benchmarks\Server.java,Server,createFortunesHandler/1[DataSource],false,93,8,0,0,0,2,12,24,2,7,1,12,0,0,0,0,1,0,6,4,5,0,2,0,0,1,35,10,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\jlhttp\src\main\java\benchmarks\Server.java,Server,queryFortunes/1[DataSource],false,33,3,0,0,0,2,7,7,1,4,1,7,0,0,1,0,1,0,1,2,4,0,2,0,0,0,24,10,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\martian\src\main\java\com\text\api\TestApi.java,com.text.api.TestApi,json/1[com.text.api.MagicianRequest],false,16,3,2,0,2,1,4,7,1,2,1,4,0,0,0,0,0,0,5,0,2,0,0,0,0,0,11,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\TechEmpower-FrameworkBenchmarks\frameworks\Java\grizzly\src\main\java\org\glassfish\grizzly\bm\PlainTextHttpHandler.java,org.glassfish.grizzly.bm.PlainTextHttpHandler,"service/2[org.glassfish.grizzly.bm.Request,org.glassfish.grizzly.bm.Response]",false,17,2,0,0,0,1,3,4,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,false
