file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\GatewayApplication.java,com.alibaba.cloud.integration.gateway.GatewayApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\config\GatewayConfig.java,com.alibaba.cloud.integration.gateway.config.GatewayConfig,class,15,15,0,15,6,1,0,11,13,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,38,3,0,0,0,0,5,2,6,0,6,0,1,0,0,35,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\dto\AccountDTO.java,com.alibaba.cloud.integration.account.dto.AccountDTO,class,0,0,0,0,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,14,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\BusinessException.java,com.alibaba.cloud.integration.common.BusinessException,class,0,0,0,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-order\src\main\java\com\alibaba\cloud\integration\order\OrderServiceApplication.java,com.alibaba.cloud.integration.order.OrderServiceApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-order\src\main\java\com\alibaba\cloud\integration\order\mapper\OrderMapper.java,com.alibaba.cloud.integration.order.mapper.OrderMapper,interface,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-frontend\src\main\java\com\alibaba\cloud\integration\frontend\FrontendApplication.java,com.alibaba.cloud.integration.frontend.FrontendApplication,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\ResultEnum.java,com.alibaba.cloud.integration.common.ResultEnum,enum,0,1,1,0,6,1,0,0,3,0.5,0.0,0.0,6,0,4,0,0,2,6,0,0,0,2,0,0,2,0,0,0,0,0,23,2,0,0,0,0,2,2,4,0,2,0,0,0,0,31,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\IResult.java,com.alibaba.cloud.integration.common.IResult,interface,0,1,1,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-order\src\main\java\com\alibaba\cloud\integration\order\entity\Order.java,com.alibaba.cloud.integration.order.entity.Order,class,0,1,1,0,15,1,0,0,63,0.8000001,0.0,0.0,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0,0,0,0,54,8,0,0,0,0,8,0,7,2,7,0,0,0,0,25,1,0
