file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\GatewayApplication.java,com.alibaba.cloud.integration.gateway.GatewayApplication,main/1[java.lang.String[]],false,30,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\config\GatewayConfig.java,com.alibaba.cloud.integration.gateway.config.GatewayConfig,sentinelGatewayFilter/0,false,69,4,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\config\GatewayConfig.java,com.alibaba.cloud.integration.gateway.config.GatewayConfig,corsFilter/0,false,104,4,0,0,0,1,5,10,1,2,0,5,0,0,0,0,0,0,4,0,2,0,0,0,0,0,11,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\config\GatewayConfig.java,com.alibaba.cloud.integration.gateway.config.GatewayConfig,initGatewayRules/0,false,74,2,0,0,0,1,4,5,0,1,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,6,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\config\GatewayConfig.java,com.alibaba.cloud.integration.gateway.config.GatewayConfig,initBlockHandlers/0,false,90,2,0,0,0,1,1,9,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\config\GatewayConfig.java,com.alibaba.cloud.integration.gateway.config.GatewayConfig,"GatewayConfig/2[com.alibaba.cloud.integration.gateway.config.ObjectProvider<java.util.List<com.alibaba.cloud.integration.gateway.config.ViewResolver>>,com.alibaba.cloud.integration.gateway.config.ServerCodecConfigurer]",true,62,3,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\config\GatewayConfig.java,com.alibaba.cloud.integration.gateway.config.GatewayConfig,sentinelGatewayBlockExceptionHandler/0,false,83,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\dto\AccountDTO.java,com.alibaba.cloud.integration.account.dto.AccountDTO,getPrice/0,false,36,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\dto\AccountDTO.java,com.alibaba.cloud.integration.account.dto.AccountDTO,setPrice/1[java.lang.Integer],false,40,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\dto\AccountDTO.java,com.alibaba.cloud.integration.account.dto.AccountDTO,getUserId/0,false,28,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\dto\AccountDTO.java,com.alibaba.cloud.integration.account.dto.AccountDTO,setUserId/1[java.lang.String],false,32,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\BusinessException.java,com.alibaba.cloud.integration.common.BusinessException,BusinessException/1[java.lang.String],true,24,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-order\src\main\java\com\alibaba\cloud\integration\order\OrderServiceApplication.java,com.alibaba.cloud.integration.order.OrderServiceApplication,main/1[java.lang.String[]],false,30,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-order\src\main\java\com\alibaba\cloud\integration\order\mapper\OrderMapper.java,com.alibaba.cloud.integration.order.mapper.OrderMapper,saveOrder/1[com.alibaba.cloud.integration.order.entity.Order],false,33,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,0,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-frontend\src\main\java\com\alibaba\cloud\integration\frontend\FrontendApplication.java,com.alibaba.cloud.integration.frontend.FrontendApplication,main/1[java.lang.String[]],false,29,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\ResultEnum.java,com.alibaba.cloud.integration.common.ResultEnum,ResultEnum/0,true,38,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\ResultEnum.java,com.alibaba.cloud.integration.common.ResultEnum,setMessage/1[java.lang.String],false,60,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\ResultEnum.java,com.alibaba.cloud.integration.common.ResultEnum,"ResultEnum/2[java.lang.Integer,java.lang.String]",true,41,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\ResultEnum.java,com.alibaba.cloud.integration.common.ResultEnum,getCode/0,false,47,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\alibaba-spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\ResultEnum.java,com.alibaba.cloud.integration.common.ResultEnum,setCode/1[java.lang.Integer],false,51,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
