file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\main\java\org\apache\beam\examples\complete\TrafficMaxLaneFlow.java,org.apache.beam.examples.complete.TrafficMaxLaneFlow$MaxLaneFlow,innerclass,6,6,0,6,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,28,8,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\learning\katas\java\Core Transforms\Combine\BinaryCombineFn Lambda\test\org\apache\beam\learning\katas\coretransforms\combine\binarycombinefnlambda\TaskTest.java,org.apache.beam.learning.katas.coretransforms.combine.binarycombinefnlambda.TaskTest,class,6,6,0,6,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,7,10,0,0,0,0,0,0,6,4,0,4,0,0,0,0,12,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\cdap\servicenow\src\main\java\org\apache\beam\examples\complete\cdap\servicenow\utils\PluginConfigOptionsConverter.java,org.apache.beam.examples.complete.cdap.servicenow.utils.PluginConfigOptionsConverter,class,2,3,1,2,1,1,0,12,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\.test-infra\pipelines\src\test\java\org\apache\beam\testinfra\pipelines\conversions\StageSummaryWithAppendedDetailsTest.java,org.apache.beam.testinfra.pipelines.conversions.StageSummaryWithAppendedDetailsTest$Anonymous1,anonymous,4,4,0,4,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,4,5,1,5,0,0,0,0,18,-1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\pubsublite\PubsubliteResourceManager.java,org.apache.beam.it.gcp.pubsublite.PubsubliteResourceManager,class,10,11,1,10,11,1,0,37,0,0.5416667,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,4,3,3,0,0,6,0,3,64,3,2,0,5,0,10,8,15,4,15,2,0,0,0,114,1,5
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerClientFactoryTest.java,org.apache.beam.it.gcp.bigtable.BigtableResourceManagerClientFactoryTest,class,15,15,0,15,3,1,0,13,0,0.53333336,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,2,1,4,0,0,3,0,0,32,0,0,0,5,0,2,0,12,0,13,1,0,0,0,49,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\main\java\org\apache\beam\examples\complete\TrafficRoutes.java,org.apache.beam.examples.complete.TrafficRoutes$TrackSpeed,innerclass,7,7,0,7,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,3,0,0,0,0,31,8,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\cassandra\src\main\java\org\apache\beam\it\cassandra\CassandraResourceManagerUtils.java,org.apache.beam.it.cassandra.CassandraResourceManagerUtils,class,1,2,1,1,2,1,0,4,1,0.5,NaN,NaN,2,1,0,1,0,1,1,0,0,0,4,4,0,4,0,0,4,0,3,11,1,0,0,0,0,3,1,4,0,4,0,0,0,0,45,16,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigquery\BigQueryIOST.java,org.apache.beam.it.gcp.bigquery.BigQueryIOST$JsonFormatFn,innerclass,3,3,0,3,4,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,22,1,1,1,0,1,3,5,6,6,5,2,0,0,0,27,10,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\main\java\org\apache\beam\examples\WordCount.java,org.apache.beam.examples.WordCount$CountWords,innerclass,4,4,0,4,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,42,9,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\main\java\org\apache\beam\examples\snippets\Snippets.java,org.apache.beam.examples.snippets.Snippets$DynamicSessions,innerclass,9,9,0,9,8,2,0,7,15,0.5714286,0.0,0.0,7,1,6,1,0,0,6,0,0,0,1,0,0,1,0,0,1,0,2,31,5,0,0,1,0,1,0,4,0,3,1,0,0,0,40,9,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\main\java\org\apache\beam\examples\complete\datatokenization\transforms\SerializableFunctions.java,org.apache.beam.examples.complete.datatokenization.transforms.SerializableFunctions,class,4,7,3,4,2,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,18,2,0,1,0,0,3,0,4,0,4,1,0,0,1,17,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\LoadTestBase.java,org.apache.beam.it.gcp.LoadTestBase,class,25,27,2,25,46,1,1,107,66,0.88809526,0.0,0.0,21,4,6,4,11,0,17,1,0,0,20,15,1,11,8,0,13,0,25,246,18,3,11,2,5,63,21,56,20,50,3,1,1,1,223,1025,8
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\test\java\org\apache\beam\examples\WindowedWordCountIT.java,org.apache.beam.examples.WindowedWordCountIT$WordCountsMatcher,innerclass,4,4,0,4,7,2,0,11,0,0.25,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,1,0,2,32,1,2,0,1,0,2,3,6,1,8,2,0,0,1,50,10,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\twitter\src\main\java\org\apache\beam\examples\twitterstreamgenerator\TwitterConfig.java,org.apache.beam.examples.twitterstreamgenerator.TwitterConfig,class,5,15,10,5,14,1,0,3,1,0.63636357,0.0,0.0,11,0,10,1,0,0,10,0,0,0,8,0,0,8,0,0,8,0,9,102,12,0,3,0,0,0,0,9,0,9,1,0,1,0,40,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\learning\katas\java\Common Transforms\Filter\ParDo\test\org\apache\beam\learning\katas\commontransforms\filter\pardo\TaskTest.java,org.apache.beam.learning.katas.commontransforms.filter.pardo.TaskTest,class,6,6,0,6,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,10,0,0,0,0,0,0,15,4,0,4,0,0,0,0,10,1,0
