file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\main\java\org\apache\beam\examples\complete\TrafficMaxLaneFlow.java,org.apache.beam.examples.complete.TrafficMaxLaneFlow$MaxLaneFlow,"expand/1[org.apache.beam.examples.complete.PCollection<org.apache.beam.examples.complete.KV<java.lang.String,org.apache.beam.examples.complete.TrafficMaxLaneFlow.LaneInfo>>]",false,316,5,2,0,2,1,3,5,1,2,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\learning\katas\java\Core Transforms\Combine\BinaryCombineFn Lambda\test\org\apache\beam\learning\katas\coretransforms\combine\binarycombinefnlambda\TaskTest.java,org.apache.beam.learning.katas.coretransforms.combine.binarycombinefnlambda.TaskTest,combine_binaryCombineFn_lambda/0,false,35,4,1,0,1,1,8,7,0,3,0,8,0,0,0,0,0,0,0,6,3,0,0,0,0,0,8,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\cdap\servicenow\src\main\java\org\apache\beam\examples\complete\cdap\servicenow\utils\PluginConfigOptionsConverter.java,org.apache.beam.examples.complete.cdap.servicenow.utils.PluginConfigOptionsConverter,serviceNowOptionsToParamsMap/1[org.apache.beam.examples.complete.cdap.servicenow.options.CdapServiceNowOptions],false,33,2,10,1,9,1,12,3,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\.test-infra\pipelines\src\test\java\org\apache\beam\testinfra\pipelines\conversions\StageSummaryWithAppendedDetailsTest.java,org.apache.beam.testinfra.pipelines.conversions.StageSummaryWithAppendedDetailsTest$Anonymous1,process/1[org.apache.beam.testinfra.pipelines.conversions.Row],false,130,4,0,0,0,1,8,11,0,5,1,8,0,0,0,0,0,0,6,4,5,1,0,0,0,0,18,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\pubsublite\PubsubliteResourceManager.java,org.apache.beam.it.gcp.pubsublite.PubsubliteResourceManager,"createSubscription/3[org.apache.beam.it.gcp.pubsublite.ReservationPath,org.apache.beam.it.gcp.pubsublite.TopicName,java.lang.String]",false,156,4,0,0,0,2,19,10,1,2,3,19,0,0,0,0,1,0,2,0,2,0,1,0,0,0,30,1,1,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\pubsublite\PubsubliteResourceManager.java,org.apache.beam.it.gcp.pubsublite.PubsubliteResourceManager,"createReservation/4[java.lang.String,java.lang.String,java.lang.String,java.lang.Long]",false,68,1,0,0,0,2,15,12,1,2,4,15,0,0,0,0,1,0,2,0,2,0,1,0,0,0,47,1,1,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\pubsublite\PubsubliteResourceManager.java,org.apache.beam.it.gcp.pubsublite.PubsubliteResourceManager,"createTopic/2[java.lang.String,org.apache.beam.it.gcp.pubsublite.ReservationPath]",false,107,4,0,0,0,2,24,12,1,3,2,24,0,0,0,0,1,0,2,0,3,0,1,0,0,0,66,1,1,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\main\java\org\apache\beam\it\gcp\pubsublite\PubsubliteResourceManager.java,org.apache.beam.it.gcp.pubsublite.PubsubliteResourceManager,cleanupAll/0,false,192,0,0,0,0,5,12,22,0,2,0,12,0,0,2,0,2,0,4,0,2,2,2,0,0,0,27,1,2,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerClientFactoryTest.java,org.apache.beam.it.gcp.bigtable.BigtableResourceManagerClientFactoryTest,testClientFactoryGettersReturnClientsWithCorrectIds/0,false,89,1,0,0,0,1,5,8,0,2,0,5,0,0,0,0,2,0,0,0,2,0,1,0,0,0,27,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerClientFactoryTest.java,org.apache.beam.it.gcp.bigtable.BigtableResourceManagerClientFactoryTest,setup/0,false,51,5,0,0,0,1,5,6,0,3,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,29,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigtable\BigtableResourceManagerClientFactoryTest.java,org.apache.beam.it.gcp.bigtable.BigtableResourceManagerClientFactoryTest,testClientFactoryGettersReturnCorrectClasses/0,false,76,4,0,0,0,1,5,11,0,3,0,5,0,0,0,0,3,0,0,0,3,0,1,0,0,0,17,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\main\java\org\apache\beam\examples\complete\TrafficRoutes.java,org.apache.beam.examples.complete.TrafficRoutes$TrackSpeed,"expand/1[org.apache.beam.examples.complete.PCollection<org.apache.beam.examples.complete.KV<java.lang.String,org.apache.beam.examples.complete.TrafficRoutes.StationSpeed>>]",false,308,6,2,0,2,1,3,6,1,3,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\cassandra\src\main\java\org\apache\beam\it\cassandra\CassandraResourceManagerUtils.java,org.apache.beam.it.cassandra.CassandraResourceManagerUtils,generateKeyspaceName/1[java.lang.String],false,43,1,2,1,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\cassandra\src\main\java\org\apache\beam\it\cassandra\CassandraResourceManagerUtils.java,org.apache.beam.it.cassandra.CassandraResourceManagerUtils,CassandraResourceManagerUtils/0,true,35,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigquery\BigQueryIOST.java,org.apache.beam.it.gcp.bigquery.BigQueryIOST$JsonFormatFn,JsonFormatFn/1[int],true,419,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\it\google-cloud-platform\src\test\java\org\apache\beam\it\gcp\bigquery\BigQueryIOST.java,org.apache.beam.it.gcp.bigquery.BigQueryIOST$JsonFormatFn,apply/1[byte[]],false,424,2,0,0,0,3,4,17,1,5,1,4,0,0,1,1,0,1,3,5,6,6,2,0,0,0,14,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\main\java\org\apache\beam\examples\WordCount.java,org.apache.beam.examples.WordCount$CountWords,expand/1[org.apache.beam.examples.PCollection<java.lang.String>],false,152,3,1,0,1,1,3,5,1,2,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-beam\examples\java\src\main\java\org\apache\beam\examples\snippets\Snippets.java,org.apache.beam.examples.snippets.Snippets$DynamicSessions,"isCompatible/1[org.apache.beam.examples.snippets.WindowFn<?,?>]",false,773,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
