file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\exec\postgresql\PostgresqlInsertExecutor.java,org.apache.seata.rm.datasource.exec.postgresql.PostgresqlInsertExecutor,class,16,18,2,16,23,4,0,42,21,1.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,1,0,1,0,0,1,0,0,77,8,3,0,0,0,16,4,21,5,22,3,0,0,1,113,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\saga\seata-saga-statelang\src\main\java\org\apache\seata\saga\statelang\domain\RecoverStrategy.java,org.apache.seata.saga.statelang.domain.RecoverStrategy,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,class,3,3,0,3,16,1,0,23,44,0.625,0.0,0.0,16,0,16,0,0,0,16,0,0,0,2,0,0,2,0,0,2,0,0,124,0,0,0,1,0,1,4,3,0,3,2,0,0,2,66,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\integration-tx-api\src\main\java\org\apache\seata\integration\tx\api\interceptor\parser\DefaultResourceRegisterParser.java,org.apache.seata.integration.tx.api.interceptor.parser.DefaultResourceRegisterParser$SingletonHolder,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,10,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\common\src\main\java\org\apache\seata\common\exception\NotSupportYetException.java,org.apache.seata.common.exception.NotSupportYetException,class,0,9,9,0,4,4,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\config\seata-config-core\src\main\java\org\apache\seata\config\ConfigurationChangeListener.java,org.apache.seata.config.ConfigurationChangeListener,interface,3,23,20,3,6,1,0,6,15,0.9444444,0.0,0.0,6,0,0,0,0,6,6,0,0,0,3,0,0,0,0,3,0,0,0,24,1,0,0,0,0,1,2,3,0,3,1,0,0,1,47,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\test\java\org\apache\seata\rm\datasource\exec\UpdateJoinExecutorTest.java,org.apache.seata.rm.datasource.exec.UpdateJoinExecutorTest,class,15,16,1,15,3,1,0,16,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,40,2,0,0,1,0,67,54,20,0,21,1,0,0,2,54,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\integration-tx-api\src\main\java\org\apache\seata\integration\tx\api\json\JsonParser.java,org.apache.seata.integration.tx.api.json.JsonParser,interface,1,3,2,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\test\java\org\apache\seata\rm\datasource\undo\mysql\keyword\MySQLEscapeHandlerTest.java,org.apache.seata.rm.datasource.undo.mysql.keyword.MySQLEscapeHandlerTest$MySQLUndoUpdateExecutorExtension,innerclass,2,2,0,2,2,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\saga\seata-saga-statelang\src\main\java\org\apache\seata\saga\statelang\validator\ValidationException.java,org.apache.seata.saga.statelang.validator.ValidationException,class,2,5,3,2,4,4,0,5,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,15,1,0,0,0,0,2,0,2,1,1,1,0,0,0,14,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\xa\ExecuteTemplateXA.java,org.apache.seata.rm.datasource.xa.ExecuteTemplateXA,class,6,9,3,6,13,1,0,10,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,59,1,0,0,5,2,8,0,4,3,3,5,0,0,0,43,1,3
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\compatible\src\main\java\io\seata\integration\http\SeataWebMvcConfigurer.java,io.seata.integration.http.SeataWebMvcConfigurer,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\integration-tx-api\src\main\java\org\apache\seata\integration\tx\api\interceptor\parser\DefaultTargetClassParser.java,org.apache.seata.integration.tx.api.interceptor.parser.DefaultTargetClassParser,class,2,5,3,2,10,1,0,8,4,0.4,0.0,0.0,5,1,3,0,2,0,5,0,0,0,1,1,0,0,1,0,0,0,0,36,5,2,2,0,0,0,0,4,0,4,2,0,1,0,16,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\integration-tx-api\src\test\java\org\apache\seata\integration\tx\api\interceptor\parser\ProxyUtilsGlobalTransactionalTest.java,org.apache.seata.integration.tx.api.interceptor.parser.ProxyUtilsGlobalTransactionalTest$Anonymous1,anonymous,1,1,0,1,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,-1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\integration\sofa-rpc\src\test\java\org\apache\seata\integration\sofa\rpc\HelloServiceProxy.java,org.apache.seata.integration.sofa.rpc.HelloServiceProxy,class,2,3,1,2,4,1,0,3,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,12,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\integration-tx-api\src\main\java\org\apache\seata\integration\tx\api\interceptor\parser\DefaultInterfaceParser.java,org.apache.seata.integration.tx.api.interceptor.parser.DefaultInterfaceParser,class,4,7,3,4,14,1,0,15,4,0.4,0.0,0.0,5,1,3,0,2,0,5,0,0,0,1,1,0,0,1,0,1,0,2,53,4,3,3,0,0,2,0,10,1,8,3,0,1,0,87,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\common\src\main\java\org\apache\seata\common\util\SizeUtil.java,org.apache.seata.common.util.SizeUtil,class,1,2,1,1,8,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,29,4,0,1,1,0,6,5,4,9,4,1,0,0,0,33,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\compressor\seata-compressor-deflater\src\main\java\org\apache\seata\compressor\deflater\DeflaterUtil.java,org.apache.seata.compressor.deflater.DeflaterUtil,class,1,3,2,1,10,1,0,11,0,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,49,2,2,3,2,0,4,6,11,0,9,3,0,0,0,34,1,0
