file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\exec\postgresql\PostgresqlInsertExecutor.java,org.apache.seata.rm.datasource.exec.postgresql.PostgresqlInsertExecutor,getPkValuesByDefault/1[java.lang.String],false,167,5,3,1,2,2,9,11,1,5,1,9,0,0,0,0,0,0,7,0,5,2,1,0,0,0,35,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\exec\postgresql\PostgresqlInsertExecutor.java,org.apache.seata.rm.datasource.exec.postgresql.PostgresqlInsertExecutor,"PostgresqlInsertExecutor/3[org.apache.seata.rm.datasource.StatementProxy,org.apache.seata.rm.datasource.exec.StatementCallback,org.apache.seata.rm.datasource.exec.postgresql.SQLRecognizer]",true,63,3,1,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\exec\postgresql\PostgresqlInsertExecutor.java,org.apache.seata.rm.datasource.exec.postgresql.PostgresqlInsertExecutor,containsAnyPk/0,false,103,2,4,2,2,3,12,13,3,5,0,12,0,0,0,0,0,0,0,0,4,0,1,0,0,1,30,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\exec\postgresql\PostgresqlInsertExecutor.java,org.apache.seata.rm.datasource.exec.postgresql.PostgresqlInsertExecutor,getSequenceSql/1[org.apache.seata.rm.datasource.exec.postgresql.SqlSequenceExpr],false,182,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\exec\postgresql\PostgresqlInsertExecutor.java,org.apache.seata.rm.datasource.exec.postgresql.PostgresqlInsertExecutor,getPkValues/0,false,81,3,7,2,5,5,10,13,1,2,0,10,2,2,1,0,0,0,0,0,2,0,2,0,0,0,63,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\exec\postgresql\PostgresqlInsertExecutor.java,org.apache.seata.rm.datasource.exec.postgresql.PostgresqlInsertExecutor,getPkValuesByDefault/0,false,145,5,2,0,2,2,9,11,1,5,0,9,0,0,0,0,0,0,7,0,5,2,1,0,0,0,34,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\exec\postgresql\PostgresqlInsertExecutor.java,org.apache.seata.rm.datasource.exec.postgresql.PostgresqlInsertExecutor,getPkValuesByColumn/0,false,119,5,7,3,4,9,14,20,1,4,0,14,1,1,2,0,0,0,0,4,4,0,3,0,0,0,23,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testBindBranchType_And_UnbindBranchType/0,false,236,1,0,0,0,1,6,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testGetXID/0,false,55,1,0,0,0,1,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testGetTimeout/0,false,77,1,0,0,0,1,4,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testGetBranchType/0,false,153,1,0,0,0,1,8,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testAssertNotInGlobalTransactionWithException/0,false,212,2,0,0,0,1,7,14,0,0,0,7,0,0,0,0,1,0,0,0,0,0,2,0,0,1,26,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testSetTimeout/0,false,66,1,0,0,0,1,4,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testRequireGlobalLock/0,false,108,1,0,0,0,1,5,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testInTccBranch/0,false,184,1,0,0,0,1,8,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testEntries/0,false,119,1,0,0,0,1,6,6,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testInSagaBranch/0,false,198,1,0,0,0,1,8,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testBindGlobalLockFlag/0,false,88,1,0,0,0,1,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testBind_And_Unbind_BranchType/0,false,130,1,0,0,0,1,9,12,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testUnBindGlobalLockFlag/0,false,97,1,0,0,0,1,5,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testInGlobalTransaction/0,false,171,1,0,0,0,1,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testBind_And_Unbind/0,false,42,1,0,0,0,1,6,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-incubator-seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,testAssertNotInGlobalTransaction/0,false,230,1,0,0,0,1,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
