file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\tracing\exception\TracingConfigurationException.java,org.apache.shardingsphere.elasticjob.spi.tracing.exception.TracingConfigurationException,class,0,0,0,0,2,3,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\test\java\org\apache\shardingsphere\elasticjob\annotation\job\impl\SimpleTestJob.java,org.apache.shardingsphere.elasticjob.annotation.job.impl.SimpleTestJob,class,5,6,1,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,0,0,0,10,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\test\java\org\apache\shardingsphere\elasticjob\bootstrap\type\OneOffJobBootstrapTest.java,org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrapTest,class,13,14,1,13,8,1,0,30,1,0.6428572,0.0,0.0,7,2,0,2,0,5,5,0,0,0,4,4,0,4,0,0,3,0,2,42,1,0,1,0,1,7,5,9,0,12,1,0,0,5,64,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\tracing\storage\TracingStorageConfigurationConverter.java,org.apache.shardingsphere.elasticjob.spi.tracing.storage.TracingStorageConfigurationConverter,interface,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\ElasticJob.java,org.apache.shardingsphere.elasticjob.api.ElasticJob,interface,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobExtraConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobExtraConfiguration,interface,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\executor\item\param\ShardingContext.java,org.apache.shardingsphere.elasticjob.spi.executor.item.param.ShardingContext,class,3,8,5,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\test\java\org\apache\shardingsphere\elasticjob\annotation\job\CustomJob.java,org.apache.shardingsphere.elasticjob.annotation.job.CustomJob,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobExtraConfigurationFactory.java,org.apache.shardingsphere.elasticjob.api.JobExtraConfigurationFactory,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\executor\error\handler\JobErrorHandler.java,org.apache.shardingsphere.elasticjob.spi.executor.error.handler.JobErrorHandler,interface,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
