file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\tracing\exception\TracingConfigurationException.java,org.apache.shardingsphere.elasticjob.spi.tracing.exception.TracingConfigurationException,TracingConfigurationException/1[java.lang.String],true,31,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\tracing\exception\TracingConfigurationException.java,org.apache.shardingsphere.elasticjob.spi.tracing.exception.TracingConfigurationException,TracingConfigurationException/1[java.lang.Exception],true,27,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\test\java\org\apache\shardingsphere\elasticjob\annotation\job\impl\SimpleTestJob.java,org.apache.shardingsphere.elasticjob.annotation.job.impl.SimpleTestJob,execute/1[org.apache.shardingsphere.elasticjob.spi.executor.item.param.ShardingContext],false,40,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\test\java\org\apache\shardingsphere\elasticjob\bootstrap\type\OneOffJobBootstrapTest.java,org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrapTest,getScheduler/1[org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrap],false,89,3,2,2,0,1,2,4,1,1,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,2,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\test\java\org\apache\shardingsphere\elasticjob\bootstrap\type\OneOffJobBootstrapTest.java,org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrapTest,init/0,false,53,2,0,0,0,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,8,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\test\java\org\apache\shardingsphere\elasticjob\bootstrap\type\OneOffJobBootstrapTest.java,org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrapTest,assertExecute/0,false,71,7,5,0,5,1,10,8,0,3,0,10,1,2,0,0,0,1,2,1,2,0,0,0,0,1,32,0,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\test\java\org\apache\shardingsphere\elasticjob\bootstrap\type\OneOffJobBootstrapTest.java,org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrapTest,assertShutdown/0,false,82,6,5,0,5,1,6,7,0,2,0,6,1,1,0,0,0,0,1,0,1,0,1,0,0,1,14,0,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\test\java\org\apache\shardingsphere\elasticjob\bootstrap\type\OneOffJobBootstrapTest.java,org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrapTest,tearDown/0,false,60,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\test\java\org\apache\shardingsphere\elasticjob\bootstrap\type\OneOffJobBootstrapTest.java,org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrapTest,assertConfigFailedWithCron/0,false,65,3,0,0,0,1,4,5,0,1,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,2,13,0,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\test\java\org\apache\shardingsphere\elasticjob\bootstrap\type\OneOffJobBootstrapTest.java,org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrapTest,"blockUtilFinish/2[org.apache.shardingsphere.elasticjob.bootstrap.type.OneOffJobBootstrap,java.util.concurrent.atomic.AtomicInteger]",false,94,3,2,1,1,2,7,4,0,1,2,7,1,1,0,1,0,0,0,2,1,0,0,0,0,1,14,2,0,false
