nameWithOwner,createdAt,stargazerCount,commitCount
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,87213,381
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,86202,309
macrozheng/mall,2018-04-04T01:11:44Z,74978,116
doocs/advanced-java,2018-10-06T11:38:30Z,73966,23
krahets/hello-algo,2022-11-04T11:08:34Z,73022,1340
elastic/elasticsearch,2010-02-08T13:20:56Z,67238,8874
kdn251/interviews,2017-02-14T18:19:25Z,61451,0
TheAlgorithms/Java,2016-07-16T10:21:02Z,56406,258
spring-projects/spring-framework,2010-12-08T04:04:45Z,54868,3806
google/guava,2014-05-29T16:23:17Z,49291,497
ReactiveX/RxJava,2013-01-08T20:11:48Z,47601,83
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,47101,3275
apache/dubbo,2012-06-19T07:56:02Z,39942,1420
skylot/jadx,2013-03-18T17:08:21Z,38652,289
jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,37512,264
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,37207,0
dbeaver/dbeaver,2015-10-21T08:26:28Z,37070,1830
geekxh/hello-algorithm,2020-05-29T05:47:09Z,34644,10
airbnb/lottie-android,2016-10-06T22:42:42Z,34624,100
alibaba/arthas,2018-08-29T17:15:57Z,34542,147
bumptech/glide,2013-07-08T22:52:33Z,34301,181
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,32879,0
zxing/zxing,2011-10-12T14:07:27Z,32145,116
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,31871,0
halo-dev/halo,2018-03-21T12:56:52Z,31134,895
alibaba/easyexcel,2018-02-06T03:14:08Z,30754,203
termux/termux-app,2015-10-23T09:42:46Z,30196,28
ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,29865,0
SeleniumHQ/selenium,2013-01-14T21:40:56Z,29134,2197
alibaba/nacos,2018-06-15T06:49:27Z,28880,455
apolloconfig/apollo,2016-03-04T10:24:23Z,28732,95
doocs/leetcode,2018-09-16T14:03:03Z,28573,2752
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,28298,723
dromara/hutool,2014-04-13T07:23:51Z,28191,705
wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,27695,0
alibaba/canal,2013-01-13T10:59:52Z,27621,84
alibaba/druid,2011-11-03T05:12:51Z,27605,539
alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,27161,124
apache/kafka,2011-08-15T18:06:16Z,27151,1871
crossoverJie/JCSprout,2017-12-17T09:06:50Z,27074,0
lenve/vhr,2018-01-04T08:57:51Z,26905,4
xuxueli/xxl-job,2015-11-28T12:59:34Z,26354,11
qiurunze123/miaosha,2018-09-14T04:36:24Z,26031,0
alibaba/fastjson,2011-11-03T06:58:52Z,25611,5
hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,25128,3
proxyee-down-org/proxyee-down,2017-10-25T10:07:27Z,24984,0
apache/incubator-seata,2018-12-28T08:37:22Z,24879,313
scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,24660,32
greenrobot/EventBus,2012-07-16T16:55:40Z,24569,0
Netflix/Hystrix,2012-11-19T20:14:46Z,23849,6
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,23623,3058
DrKLO/Telegram,2013-10-25T14:08:10Z,23589,54
apache/skywalking,2015-11-07T03:30:36Z,23152,490
apache/flink,2014-06-07T07:00:10Z,23050,2624
libgdx/libgdx,2012-08-10T19:34:38Z,22617,143
jenkinsci/jenkins,2010-11-22T21:21:23Z,22280,1520
google/ExoPlayer,2014-06-13T21:19:18Z,21432,1841
Anuken/Mindustry,2017-04-30T01:24:29Z,20893,1587
elunez/eladmin,2018-12-14T08:54:24Z,20738,53
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,20505,1634
apache/rocketmq,2016-11-30T08:00:08Z,20456,714
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,20385,0
ReactiveX/RxAndroid,2014-08-19T03:46:38Z,19857,11
OpenAPITools/openapi-generator,2018-05-12T09:57:56Z,19587,1847
keycloak/keycloak,2013-07-02T13:38:51Z,19563,3706
apache/shardingsphere,2016-01-18T12:49:26Z,19376,4936
mybatis/mybatis-3,2013-02-14T19:03:32Z,19337,550
brettwooldridge/HikariCP,2013-10-08T05:43:03Z,19319,26
linlinjava/litemall,2018-03-22T16:42:30Z,18823,12
Baseflow/PhotoView,2012-07-17T16:39:00Z,18686,0
iBotPeaches/Apktool,2012-03-19T17:46:53Z,18678,218
dianping/cat,2012-12-05T02:31:48Z,18386,2
openjdk/jdk,2018-09-17T12:29:20Z,18239,5930
forezp/SpringCloudLearning,2017-04-08T10:06:56Z,17723,0
doocs/source-code-hunter,2019-10-28T01:35:10Z,17078,20
Tencent/tinker,2016-09-06T06:57:52Z,17031,27
facebook/fresco,2015-03-02T09:58:04Z,17030,362
LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,16973,30
nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,16801,0
openzipkin/zipkin,2012-06-06T18:26:16Z,16684,203
shuzheng/zheng,2016-10-04T10:07:06Z,16633,0
Tencent/APIJSON,2016-11-21T12:03:29Z,16515,181
antlr/antlr4,2010-02-04T01:36:28Z,16247,270
infinilabs/analysis-ik,2011-12-16T09:01:45Z,16037,9
justauth/JustAuth,2019-01-31T09:42:20Z,15911,43
material-components/material-components-android,2016-12-05T16:11:29Z,15899,540
barry-ran/QtScrcpy,2019-06-23T04:12:17Z,15838,8
yuliskov/SmartTube,2020-07-28T12:53:52Z,15789,2893
baomidou/mybatis-plus,2016-08-18T10:06:53Z,15674,389
prestodb/presto,2012-08-09T01:03:37Z,15531,1981
thingsboard/thingsboard,2016-12-01T09:33:30Z,15459,5479
android10/Android-CleanArchitecture,2014-08-19T14:09:26Z,15451,0
LSPosed/LSPosed,2020-12-12T08:39:37Z,15358,361
dromara/Sa-Token,2020-02-03T10:34:29Z,15224,458
kunal-kushwaha/DSA-Bootcamp-Java,2021-07-30T12:23:25Z,15211,44
heibaiying/BigData-Notes,2019-03-10T01:40:01Z,15179,2
YunaiV/yudao-cloud,2019-05-02T16:06:49Z,15125,512
ben-manes/caffeine,2014-12-13T08:45:11Z,15112,629
alibaba/DataX,2018-01-18T10:09:47Z,15040,151
android-hacker/VirtualXposed,2017-12-01T09:00:58Z,15008,0
Bigkoo/Android-PickerView,2014-12-28T01:46:38Z,13396,0
questdb/questdb,2014-04-28T23:29:15Z,13382,729
seaswalker/spring-analysis,2016-09-09T07:46:32Z,13349,2
GoogleContainerTools/jib,2018-01-22T18:30:43Z,13345,104
JessYanCoding/AndroidAutoSize,2018-08-17T09:04:19Z,13298,0
gyoogle/tech-interview-for-developer,2019-06-09T04:42:57Z,13259,58
pinpoint-apm/pinpoint,2014-10-20T09:27:22Z,13192,787
apache/druid,2012-10-23T19:08:07Z,13164,1554
LuckSiege/PictureSelector,2017-01-04T07:47:39Z,13029,139
Netflix/conductor,2016-12-07T22:48:42Z,12919,254
facebookarchive/stetho,2015-01-22T22:34:10Z,12666,0
greenrobot/greenDAO,2011-10-22T16:15:14Z,12608,1
theonedev/onedev,2018-11-06T02:57:01Z,12604,690
projectlombok/lombok,2009-06-08T19:46:41Z,12547,270
zhihu/Matisse,2017-04-13T01:31:05Z,12486,0
daimajia/AndroidViewAnimations,2014-06-23T03:53:13Z,12392,0
neo4j/neo4j,2012-11-12T08:46:15Z,12370,3182
daimajia/AndroidSwipeLayout,2014-08-25T04:09:33Z,12353,0
google/guice,2014-05-28T23:18:53Z,12327,85
DuGuQiuBai/Java,2015-11-25T07:30:08Z,12161,0
codecentric/spring-boot-admin,2014-07-25T11:39:13Z,12129,1033
chat2db/Chat2DB,2023-06-20T14:05:26Z,11946,3399
zaproxy/zaproxy,2015-06-03T16:55:01Z,11911,583
supertokens/supertokens-core,2020-01-05T13:30:52Z,11801,340
Yalantis/uCrop,2016-01-05T13:41:06Z,11744,17
itwanger/toBeBetterJavaer,2018-11-08T00:35:56Z,11686,385
redis/jedis,2010-06-11T13:04:43Z,11574,262
languagetool-org/languagetool,2013-08-08T16:37:22Z,11484,12689
frank-lam/fullstack-tutorial,2018-04-13T01:50:10Z,11437,0
realm/realm-java,2012-04-20T09:18:42Z,11436,83
macrozheng/mall-swarm,2019-11-25T06:55:31Z,11282,16
apache/doris,2017-08-10T12:13:30Z,11193,10218
careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,11125,0
alibaba/COLA,2018-02-06T13:46:27Z,11121,37
grpc/grpc-java,2014-12-08T19:00:00Z,11118,605
jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,11096,0
androidannotations/androidannotations,2012-01-06T08:48:03Z,11081,0
H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10981,0
lingochamp/FileDownloader,2015-12-22T11:17:16Z,10947,0
amitshekhariitbhu/android-interview-questions,2017-07-09T18:47:24Z,10842,41
alibaba/vlayout,2017-02-27T08:11:47Z,10805,0
newbee-ltd/newbee-mall,2019-09-21T03:56:04Z,10762,4
metersphere/metersphere,2020-02-03T02:06:12Z,10749,3664
square/javapoet,2013-02-01T16:56:30Z,10669,50
android-async-http/android-async-http,2011-02-20T03:25:07Z,10640,0
xiaojieonly/Ehviewer_CN_SXJ,2020-11-09T06:14:31Z,10628,210
apereo/cas,2011-09-09T01:36:42Z,10599,2580
jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,10587,0
aosp-mirror/platform_frameworks_base,2008-10-21T18:20:37Z,10571,149569
cryptomator/cryptomator,2014-02-02T00:43:47Z,10569,1062
tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10480,0
lipangit/JiaoZiVideoPlayer,2016-02-06T11:04:24Z,10463,0
OpenRefine/OpenRefine,2012-10-15T02:22:48Z,10416,713
google/auto,2013-05-22T21:41:56Z,10346,273
Snoopy1866/LiTiaotiao-Custom-Rules,2023-06-12T12:58:52Z,10256,710
JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,10146,0
doocs/jvm,2018-06-23T01:12:59Z,10138,12
Activiti/Activiti,2012-09-13T11:34:43Z,9882,116
wasabeef/glide-transformations,2015-01-09T10:33:29Z,9862,0
jwtk/jjwt,2014-09-13T01:06:24Z,9790,76
debezium/debezium,2016-01-22T20:17:05Z,9788,2084
HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9723,0
kekingcn/kkFileView,2017-12-12T11:41:08Z,9721,419
YoKeyword/Fragmentation,2016-02-23T08:54:55Z,9720,0
ksoichiro/Android-ObservableScrollView,2014-11-08T14:45:20Z,9658,0
hackware1993/MagicIndicator,2016-06-26T08:20:43Z,9644,0
react-native-camera/react-native-camera,2015-04-01T00:54:40Z,9639,0
liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,9597,0
perwendel/spark,2011-05-05T11:52:05Z,9593,0
lzyzsd/JsBridge,2015-02-26T12:10:58Z,9590,0
koral--/android-gif-drawable,2013-01-30T01:37:46Z,9502,5
umano/AndroidSlidingUpPanel,2013-05-31T18:33:53Z,9489,0
lihengming/spring-boot-api-project-seed,2017-06-23T10:06:30Z,9487,0
MyCATApache/Mycat-Server,2014-12-04T02:46:54Z,9462,1
plantuml/plantuml,2010-11-04T15:55:50Z,9459,530
trinodb/trino,2019-01-19T06:38:14Z,9451,6491
stanfordnlp/CoreNLP,2013-06-27T21:13:49Z,9426,267
pockethub/PocketHub,2011-09-08T16:52:50Z,9397,0
apple/pkl,2024-01-19T17:28:45Z,9260,136
OpenFeign/feign,2013-06-26T23:28:16Z,9234,346
datahub-project/datahub,2015-11-18T05:47:40Z,9124,2263
Justson/AgentWeb,2017-05-12T07:45:56Z,9112,10
crossoverJie/cim,2018-05-20T15:55:56Z,9106,0
GcsSloop/AndroidNote,2016-01-04T23:51:36Z,9066,0
navasmdc/MaterialDesignLibrary,2014-09-30T07:37:17Z,9009,0
ssssssss-team/spider-flow,2020-03-27T11:07:15Z,9001,0
huanghaibin-dev/CalendarView,2017-03-11T07:16:09Z,8948,0
didi/VirtualAPK,2017-06-29T07:25:05Z,8948,0
cats-oss/android-gpuimage,2012-10-04T08:11:58Z,8879,0
awsdocs/aws-doc-sdk-examples,2016-08-18T19:06:57Z,8833,1157
laobie/StatusBarUtil,2016-02-15T03:06:06Z,8822,0
signalapp/Signal-Server,2013-12-09T07:10:36Z,8806,961
PaperMC/Paper,2016-01-22T05:40:19Z,8742,1022
zfile-dev/zfile,2019-08-19T13:57:56Z,8726,61
firebase/quickstart-android,2016-04-26T17:13:27Z,8704,90
Blankj/awesome-java-leetcode,2017-04-17T15:51:41Z,8655,0
KunMinX/Jetpack-MVVM-Best-Practice,2019-10-31T05:21:01Z,8631,51
chrisjenx/Calligraphy,2013-12-20T02:35:45Z,8589,0
json-path/JsonPath,2011-01-24T13:19:19Z,8577,23
ybq/Android-SpinKit,2016-03-20T08:40:51Z,8566,0
shwenzhang/AndResGuard,2015-10-11T11:48:06Z,8453,1
dropwizard/dropwizard,2011-01-19T19:52:29Z,8447,730
airbnb/epoxy,2016-08-08T23:05:11Z,8441,10
roughike/BottomBar,2016-03-16T01:31:05Z,8421,0
sohutv/cachecloud,2016-01-26T05:46:01Z,8410,35
react-native-image-picker/react-native-image-picker,2015-06-08T20:25:31Z,8345,63
provectus/kafka-ui,2019-11-26T15:55:55Z,8340,374
amitshekhariitbhu/Android-Debug-Database,2016-11-16T14:20:24Z,8330,1
apache/shenyu,2018-07-11T08:17:45Z,8262,596
hs-web/hsweb-framework,2016-01-18T03:51:39Z,8245,174
alibaba/atlas,2017-02-28T06:31:43Z,8116,0
checkstyle/checkstyle,2013-08-31T02:05:05Z,8105,1462
google/tsunami-security-scanner,2020-06-03T16:20:00Z,8083,53
guolindev/LitePal,2013-02-20T03:20:07Z,8064,0
apache/shardingsphere-elasticjob,2015-09-11T11:28:52Z,8045,193
Team-xManager/xManager,2021-02-08T11:31:10Z,7980,232
Netflix/SimianArmy,2012-07-06T22:00:05Z,7956,0
barteksc/AndroidPdfViewer,2016-06-02T20:21:21Z,7940,0
HannahMitt/HomeMirror,2015-08-23T03:20:08Z,7869,0
apache/jmeter,2010-05-26T23:38:07Z,7865,481
ChrisRM/material-theme-jetbrains,2015-09-23T07:15:04Z,7859,0
karatelabs/karate,2017-02-07T15:59:17Z,7810,295
aritraroy/UltimateAndroidReference,2017-04-10T07:28:27Z,7802,0
dropwizard/metrics,2010-02-26T19:44:42Z,7794,380
trello/RxLifecycle,2015-07-20T13:32:23Z,7718,0
testcontainers/testcontainers-java,2015-04-12T12:44:59Z,7703,1819
facebook/litho,2017-01-27T03:59:11Z,7638,2207
wildfirechat/im-server,2019-01-23T15:21:28Z,7636,111
kaushikgopal/RxJava-Android-Samples,2014-07-23T05:13:52Z,7551,1
goldze/MVVMHabit,2017-07-21T10:38:40Z,7501,0
koush/AndroidAsync,2012-08-24T07:27:04Z,7492,0
google/android-classyshark,2015-10-12T13:40:48Z,7464,2
CatVodTVOfficial/TVBoxOSC,2022-06-23T00:40:29Z,7459,0
apache/beam,2016-02-02T08:00:06Z,7454,3789
lecho/hellocharts-android,2014-10-12T09:12:37Z,7423,0
conductor-oss/conductor,2023-12-08T06:06:09Z,7391,381
TechEmpower/FrameworkBenchmarks,2013-03-22T17:33:54Z,7357,951
swagger-api/swagger-core,2011-07-05T23:44:11Z,7328,152
dyc87112/SpringCloud-Learning,2016-08-21T03:39:52Z,7324,0
leolin310148/ShortcutBadger,2013-11-15T12:51:52Z,7322,0
flowable/flowable-engine,2016-10-13T07:21:43Z,7315,342
square/dagger,2012-08-02T23:25:32Z,7314,0
pentaho/pentaho-kettle,2013-10-08T18:27:11Z,7310,453
