nameWithOwner,createdAt,stargazerCount,commitCount
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,86212,314
macrozheng/mall,2018-04-04T01:11:44Z,74996,117
krahets/hello-algo,2022-11-04T11:08:34Z,73264,1346
elastic/elasticsearch,2010-02-08T13:20:56Z,67252,8903
TheAlgorithms/Java,2016-07-16T10:21:02Z,56414,260
ReactiveX/RxJava,2013-01-08T20:11:48Z,47601,83
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,37206,0
geekxh/hello-algorithm,2020-05-29T05:47:09Z,34654,10
alibaba/arthas,2018-08-29T17:15:57Z,34558,147
bumptech/glide,2013-07-08T22:52:33Z,34306,181
netty/netty,2010-11-09T09:22:21Z,32687,435
zxing/zxing,2011-10-12T14:07:27Z,32152,117
halo-dev/halo,2018-03-21T12:56:52Z,31152,896
alibaba/easyexcel,2018-02-06T03:14:08Z,30768,203
ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,29863,0
SeleniumHQ/selenium,2013-01-14T21:40:56Z,29150,2201
alibaba/nacos,2018-06-15T06:49:27Z,28891,458
apolloconfig/apollo,2016-03-04T10:24:23Z,28739,95
doocs/leetcode,2018-09-16T14:03:03Z,28608,2758
dromara/hutool,2014-04-13T07:23:51Z,28190,705
wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,27703,0
alibaba/druid,2011-11-03T05:12:51Z,27607,539
alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,27168,124
apache/kafka,2011-08-15T18:06:16Z,27162,1876
crossoverJie/JCSprout,2017-12-17T09:06:50Z,27073,0
lenve/vhr,2018-01-04T08:57:51Z,26902,4
xuxueli/xxl-job,2015-11-28T12:59:34Z,26367,11
qiurunze123/miaosha,2018-09-14T04:36:24Z,26031,0
alibaba/fastjson,2011-11-03T06:58:52Z,25611,5
JakeWharton/butterknife,2013-03-05T08:18:59Z,25575,0
proxyee-down-org/proxyee-down,2017-10-25T10:07:27Z,24985,0
apache/incubator-seata,2018-12-28T08:37:22Z,24883,313
Netflix/Hystrix,2012-11-19T20:14:46Z,23854,6
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,23683,3058
DrKLO/Telegram,2013-10-25T14:08:10Z,23592,54
apache/skywalking,2015-11-07T03:30:36Z,23161,491
apache/flink,2014-06-07T07:00:10Z,23059,2629
google/gson,2015-03-19T18:21:20Z,22913,222
libgdx/libgdx,2012-08-10T19:34:38Z,22621,143
jenkinsci/jenkins,2010-11-22T21:21:23Z,22283,1527
