file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\client\rest\src\main\java\org\elasticsearch\client\ResponseException.java,org.elasticsearch.client.ResponseException,class,4,17,13,4,6,4,0,14,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,2,25,2,0,2,0,0,3,0,6,2,3,2,0,0,0,40,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\modules\ingest-common\src\test\java\org\elasticsearch\ingest\common\RenameProcessorTests.java,org.elasticsearch.ingest.common.RenameProcessorTests,class,9,10,1,9,20,2,0,37,55,0.0,0.0,0.0,11,0,10,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,163,1,1,2,5,0,78,7,44,3,44,2,0,0,3,88,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\modules\ingest-common\src\main\java\org\elasticsearch\ingest\common\CommunityIdProcessor.java,org.elasticsearch.ingest.common.CommunityIdProcessor$IcmpType,enum,1,1,0,1,6,1,0,3,0,0.5833333,0.0,0.0,4,2,3,0,0,1,5,0,0,0,3,2,0,3,0,0,3,0,0,40,3,0,0,0,0,0,22,3,0,3,0,0,0,0,55,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\modules\legacy-geo\src\main\java\org\elasticsearch\legacygeo\XShapeCollection.java,org.elasticsearch.legacygeo.XShapeCollection,class,3,7,4,3,3,2,0,0,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,17,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\build-tools-internal\src\main\java\org\elasticsearch\gradle\internal\toolchain\JavaToolChainResolverPlugin.java,org.elasticsearch.gradle.internal.toolchain.JavaToolChainResolverPlugin,class,8,9,1,8,2,1,0,4,1,0.0,0.0,0.0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,13,1025,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\modules\analysis-common\src\main\java\org\elasticsearch\analysis\common\AnalysisPredicateScript.java,org.elasticsearch.analysis.common.AnalysisPredicateScript$Token,innerclass,7,7,0,7,11,1,0,7,29,0.7792209,0.0,0.0,11,0,11,0,0,0,11,0,0,0,7,0,0,7,0,0,6,0,0,47,8,0,0,0,0,0,2,9,1,7,0,0,0,0,39,9,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\modules\analysis-common\src\main\java\org\elasticsearch\analysis\common\FrenchStemTokenFilterFactory.java,org.elasticsearch.analysis.common.FrenchStemTokenFilterFactory,class,9,9,0,9,2,2,0,1,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,11,1,0,0,0,0,0,0,2,0,1,0,0,0,0,21,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\modules\data-streams\src\internalClusterTest\java\org\elasticsearch\datastreams\lifecycle\CrudSystemDataStreamLifecycleIT.java,org.elasticsearch.datastreams.lifecycle.CrudSystemDataStreamLifecycleIT$TestSystemDataStreamPlugin,innerclass,14,14,0,14,8,2,0,24,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,43,3,0,0,2,0,6,0,5,0,7,3,0,0,2,47,25,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\modules\lang-painless\src\main\java\org\elasticsearch\painless\node\EAssignment.java,org.elasticsearch.painless.node.EAssignment,class,6,11,5,6,7,3,0,3,7,0.6428572,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,4,0,2,32,4,0,0,0,0,0,0,4,0,4,0,0,0,0,30,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\elastic-elasticsearch\libs\preallocate\src\main\java\org\elasticsearch\preallocate\MacOsPreallocator.java,org.elasticsearch.preallocate.MacOsPreallocator,class,5,6,1,5,6,2,0,5,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,59,4,0,3,0,0,0,8,6,0,1,2,0,1,0,13,16,0
