file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-engine\src\main\java\org\flowable\engine\impl\event\logger\handler\VariableEventHandler.java,org.flowable.engine.impl.event.logger.handler.VariableEventHandler,class,16,20,4,16,20,2,3,20,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,10,10,9,1,0,0,10,0,0,96,1,0,6,1,3,10,0,22,0,20,2,0,0,0,57,1025,1
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-engine\src\test\java\org\flowable\examples\bpmn\servicetask\MethodExpressionServiceTaskTest.java,org.flowable.examples.bpmn.servicetask.MethodExpressionServiceTaskTest,class,5,5,0,5,2,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,14,0,6,0,6,0,0,0,0,27,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-engine\src\main\java\org\flowable\engine\InternalProcessLocalizationManager.java,org.flowable.engine.InternalProcessLocalizationManager,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-bpmn-converter\src\main\java\org\flowable\bpmn\converter\UserTaskXMLConverter.java,org.flowable.bpmn.converter.UserTaskXMLConverter$HumanPerformerParser,innerclass,5,5,0,5,6,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0,1,1,0,2,0,2,2,0,0,0,24,9,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-engine\src\main\java\org\flowable\engine\impl\NativeProcessDefinitionQueryImpl.java,org.flowable.engine.impl.NativeProcessDefinitionQueryImpl,class,5,6,1,5,4,2,0,3,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,2,0,0,0,0,0,1,1,0,1,0,0,0,0,21,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-cmmn-rest\src\main\java\org\flowable\cmmn\rest\service\api\BulkDeleteInstancesRestActionRequest.java,org.flowable.cmmn.rest.service.api.BulkDeleteInstancesRestActionRequest,class,1,3,2,1,2,2,0,0,0,0.6666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,2,2,0,1,0,2,0,0,11,1,0,0,0,0,2,0,3,0,3,0,0,0,0,35,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-bpmn-converter\src\main\java\org\flowable\bpmn\converter\child\FlowableFailedjobRetryParser.java,org.flowable.bpmn.converter.child.FlowableFailedjobRetryParser,class,4,5,1,4,5,2,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,2,0,0,1,0,1,1,0,0,0,36,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-engine\src\test\java\org\flowable\engine\test\jobexecutor\AcquireTimerJobsMultiNodeTest.java,org.flowable.engine.test.jobexecutor.AcquireTimerJobsMultiNodeTest,class,13,13,0,13,4,5,0,37,0,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,8,75,1,0,0,2,0,1,9,16,0,13,1,0,1,1,56,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-engine\src\main\java\org\flowable\engine\impl\jobexecutor\AcquiredJobs.java,org.flowable.engine.impl.jobexecutor.AcquiredJobs,class,0,0,0,0,4,1,0,4,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,17,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\flowable-flowable-engine\modules\flowable-event-registry\src\main\java\org\flowable\eventregistry\impl\consumer\CorrelationKey.java,org.flowable.eventregistry.impl.consumer.CorrelationKey,class,2,4,2,2,10,1,0,3,0,0.35714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,0,2,0,0,0,2,33,6,0,3,0,0,0,0,5,0,3,1,0,0,0,33,1,0
