file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\adapters\oidc\jaxrs-oauth-client\src\main\java\org\keycloak\jaxrs\JaxrsHttpFacade.java,org.keycloak.jaxrs.JaxrsHttpFacade,class,8,9,1,8,7,1,0,0,17,0.8095238,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,0,0,0,6,0,4,0,0,124,4,0,0,0,0,1,0,5,0,6,0,0,2,0,60,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\common\src\main\java\org\keycloak\common\util\StringSerialization.java,org.keycloak.common.util.StringSerialization$DeSerializerFunction$Anonymous1,anonymous,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\common\src\main\java\org\keycloak\common\util\StringSerialization.java,org.keycloak.common.util.StringSerialization$DeSerializerFunction$Anonymous2,anonymous,0,0,0,0,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\adapters\spi\undertow-adapter-spi\src\main\java\org\keycloak\adapters\undertow\UndertowHttpFacade.java,org.keycloak.adapters.undertow.UndertowHttpFacade$RequestFacade,innerclass,15,15,0,15,33,1,0,47,91,0.9285714,0.0,0.0,14,0,14,0,0,0,14,0,0,0,3,0,0,3,0,0,1,0,1,99,22,0,11,1,0,4,0,17,0,17,3,0,0,0,71,4,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\common\src\main\java\org\keycloak\common\util\ResteasyProvider.java,org.keycloak.common.util.ResteasyProvider,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\adapters\saml\undertow\src\main\java\org\keycloak\adapters\saml\undertow\UndertowSamlAuthenticator.java,org.keycloak.adapters.saml.undertow.UndertowSamlAuthenticator,class,9,10,1,9,3,2,0,1,1,0.33333334,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,22,1,0,0,0,0,1,0,2,0,2,0,1,0,0,23,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\authz\client\src\main\java\org\keycloak\authorization\client\resource\PermissionResource.java,org.keycloak.authorization.client.resource.PermissionResource$Anonymous10$Anonymous11,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\common\src\test\java\org\keycloak\common\util\Base64DecodeTest.java,org.keycloak.common.util.Base64DecodeTest,class,3,3,0,3,13,1,0,8,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,94,0,0,0,8,0,16,73,18,0,18,1,0,0,0,39,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\core\src\main\java\org\keycloak\representations\provider\ScriptProviderMetadata.java,org.keycloak.representations.provider.ScriptProviderMetadata,class,1,2,1,1,12,1,0,0,44,0.7833333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,44,5,0,0,0,0,0,0,8,0,5,0,0,0,0,15,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\keycloak-keycloak\core\src\main\java\org\keycloak\representations\idm\SynchronizationResultRepresentation.java,org.keycloak.representations.idm.SynchronizationResultRepresentation,class,0,0,0,0,13,1,0,0,66,0.8461538,0.0,0.0,13,0,13,0,0,0,13,0,0,0,6,0,0,6,0,0,0,0,0,46,6,0,0,0,0,0,0,6,0,6,0,0,0,0,21,1,0
